Ürün ID,Stok Kodu,Barkod,Ürün Adı,Ana Kategori,Alt Kategori,Marka,Mikro Stok,Hepcazip Satış Fiyatı,Ofis26 Satış Fiyatı,Mevcut Alış Fiyatı,Mevcut Kar Marjı - Hepcazip,Mevcut Kar Marjı - Ofis26,Tedarikçi Güncel Alış Fiyatı,Güncel Kar Marjı - Hepcazip,Güncel Kar Marjı - Ofis26,Akakçe Fiyatı,Raf,Raf Adet,Kasa,Kasa Adet,Palet,Palet Adet
21471,MAS-20,8691232679772,Mas Ataş Nikel Kaplı NO:1 210,Masaüstü Gereçler,Ataş,Mas,,,,,,,,,,,,,,,,
21472,MAS-22,8691237984386,Mas Ataş Nikel Kaplı NO:2 220,Masaüstü Gereçler,Ataş,Mas,,,,,,,,,,,,,,,,
21473,MAS-23,8691231624873,Mas Ataş Nikel Kaplı NO:3 230,Masaüstü Gereçler,Ataş,Mas,,,,,,,,,,,,,,,,
21474,MAS-24,8691237633987,Mas Ataş Nikel Kaplı NO:4 240,Masaüstü Gereçler,Ataş,Mas,,,,,,,,,,,,,,,,
21475,MAS-28,8691236973762,Mas Ataş Renkli 28 MM 280,Masaüstü Gereçler,Ataş,Mas,,,,,,,,,,,,,,,,
21476,MAS-295,8691239570506,Mas Ataş Renkli 5 CM 295,Masaüstü Gereçler,Ataş,Mas,,,,,,,,,,,,,,,,
21477,MAS-29,8691237946223,Mas Ataş Zebra Renkli 28 MM 285,Masaüstü Gereçler,Ataş,Mas,,,,,,,,,,,,,,,,
21478,BM3110-KRF,8691233345158,Kraf Bant Makİnasi 12x10 100g Mavi,Masaüstü Gereçler,Bant Kesiciler,Kraf,,,,,,,,,,,,,,,,
21479,M0730,8691217073097,Mas 730 Flash Bant Kesici 12x66 Siyah,Masaüstü Gereçler,Bant Kesiciler,Mas,,,,,,,,,,,,,,,,
21480,M0740-K,8691217074070,Mas 740 Force Bant Kesici 12x33 Kırmızı,Masaüstü Gereçler,Bant Kesiciler,Mas,,,,,,,,,,,,,,,,
21481,M0740,8691217074087,Mas 740 Force Bant Kesici 12x33 Mavi,Masaüstü Gereçler,Bant Kesiciler,Mas,,,,,,,,,,,,,,,,
21482,278000198,8691217074094,Mas 740 Force Bant Kesici 12x33 Siyah,Masaüstü Gereçler,Bant Kesiciler,Mas,,,,,,,,,,,,,,,,
21483,278000196,8691217081504,Mas 815 Masaüstü Organizer Şeffaf,Masaüstü Gereçler,Organizer,Mas,,,,,,,,,,,,,,,,
21484,150111,8691200150118,Kraf Çift Taraflı Köpük Bant 12mm X 5m 5012G ,Masaüstü Gereçler,Bantlar,Kraf,,,,,,,,,,,,,,,,
21485,150114,8691239386850,Kraf Çift Taraflı Köpük Bant 25mm X 5m 5025G ,Masaüstü Gereçler,Bantlar,Kraf,,,,,,,,,,,,,,,,
21486,150115,8691238023630,Kraf Çift Taraflı Köpük Bant 38mm X 5m 5025G ,Masaüstü Gereçler,Bantlar,Kraf,,,,,,,,,,,,,,,,
21487,150116,8680454926679,Kraf Çift Taraflı Köpük Bant 50mm X 5m,Masaüstü Gereçler,Bantlar,Kraf,,,,,,,,,,,,,,,,
21488,AST-1,8691232952367,Astel  Koli Bandı 45x100 Kahverengi Bant,Masaüstü Gereçler,Bantlar,Astel,,,,,,,,,,,,,,,,
21489,AST-4,8691230117307,Astel  Koli Bandı 45x100 Mavi Bant,Masaüstü Gereçler,Bantlar,Astel,,,,,,,,,,,,,,,,
21490,AST-3,8691234990397,Astel  Koli Bandı 45x100 Sarı Bant,Masaüstü Gereçler,Bantlar,Astel,,,,,,,,,,,,,,,,
21491,AST-SYH,8691234369760,Astel  Koli Bandı 45x100 Siyah Bant,Masaüstü Gereçler,Bantlar,Astel,,,,,,,,,,,,,,,,
21492,AST-2,8691238652626,Astel  Koli Bandı 45x100 Turuncu Bant,Masaüstü Gereçler,Bantlar,Astel,,,,,,,,,,,,,,,,
21493,150107,8691200150101,Kraf Çift Taraflı Bant 19MM X 25M 2519G,Masaüstü Gereçler,Bantlar,Kraf,,,,,,,,,,,,,,,,
21494,BN3315-KRF,8680454916694,Kraf Görünmez Bant Kesicili 19mm X 33m,Masaüstü Gereçler,Bantlar,Kraf,,,,,,,,,,,,,,,,
21495,M2611,8691217261104,Mas 2611 Çift Taraflı Bant 15 mm x 25 m,Masaüstü Gereçler,Bantlar,Mas,,,,,,,,,,,,,,,,
21496,278001110,8691217261203,Mas 2612 Çift Taraflı Bant 19x25m,Masaüstü Gereçler,Bantlar,Mas,,,,,,,,,,,,,,,,
21497,2780011101,8691233798924,Mas 2613 Çift Taraflı Bant 25x25m,Masaüstü Gereçler,Bantlar,Mas,,,,,,,,,,,,,,,,
21498,M2614,8691217261401,Mas 2614 Çift Taraflı Bant 38x25m,Masaüstü Gereçler,Bantlar,Mas,,,,,,,,,,,,,,,,
21499,278001111,8691217261500,Mas 2615 Çift Taraflı Bant 45x25m,Masaüstü Gereçler,Bantlar,Mas,,,,,,,,,,,,,,,,
21500,M2623,8691217262309,Mas 2623 Selobant 12mm x 33m,Masaüstü Gereçler,Bantlar,Mas,,,,,,,,,,,,,,,,
21501,26544,8691200265447,MAS 2654 Kaydırmaz Bant 25mm x 5m Sarı&Siyah,Masaüstü Gereçler,Bantlar,Mas,,,,,,,,,,,,,,,,
21502,211931,8691217265607,MAS 2656 Kaydırmaz Bant 25mm x 25m Sarı&Siyah,Masaüstü Gereçler,Bantlar,Mas,,,,,,,,,,,,,,,,
21503,211929,8691200211925,MAS 2655 Kaydırmaz Bant 25mm x 15m Sarı&Siyah,Masaüstü Gereçler,Bantlar,Mas,,,,,,,,,,,,,,,,
21504,265444,8691235750356,MAS 2655 Kaydırmaz Bant 25mm x 15m Siyah,Masaüstü Gereçler,Bantlar,Mas,,,,,,,,,,,,,,,,
21505,BN3292-MAS,8691217263306,Mas Görünmez Bant  19mm X 33mm 2633,Masaüstü Gereçler,Bantlar,Mas,,,,,,,,,,,,,,,,
21506,278100651,8691217260404,Mas Koli Bantı 45x100 Şeffaf,Masaüstü Gereçler,Bantlar,Mas,,,,,,,,,,,,,,,,
21507,MKF-2,8691234189644,Mfk Kırmızı-Beyaz Bant,Masaüstü Gereçler,Bantlar,Vege,,,,,,,,,,,,,,,,
21508,MKF-1,8691234076305,Mfk Sarı-Siyah Bant,Masaüstü Gereçler,Bantlar,Vege,,,,,,,,,,,,,,,,
21509,20104,8691200201049,Noki Selefon Bant 12x33 1233,Masaüstü Gereçler,Bantlar,Noki,,,,,,,,,,,,,,,,
21510,113868,8691200113861,Noki Selefon Bant 12x66 1266,Masaüstü Gereçler,Bantlar,Noki,,,,,,,,,,,,,,,,
21511,MAS-78,8691234730355,"Scotch Kristal Bant Kesicili 19 MM X 7,5 M",Masaüstü Gereçler,Bantlar,Mas,,,,,,,,,,,,,,,,
21512,MAS-80,8691236017330,Scotch Magic Bant 2'Li Yedek 19 Mm X 7.5 M,Masaüstü Gereçler,Bantlar,Mas,,,,,,,,,,,,,,,,
21513,MAS-81,8691230227285,Scotch Magic Bant Kesicili 19 Mm X 7.5 M,Masaüstü Gereçler,Bantlar,Mas,,,,,,,,,,,,,,,,
21514,04345-00016,8691200043458,Tesa Maskeleme Bantı 18x35,Masaüstü Gereçler,Bantlar,TESA,,,,,,,,,,,,,,,,
21515,KMB-VG-12-33,8691236472203,Vege 48mm x 40m Bant 4 Rulo Kesici Hediyeli,Masaüstü Gereçler,Bantlar,Vege,,,,,,,,,,,,,,,,
21516,BN3289-VGE-18,8691239705641,Vege Çift Taraflı Bant 18mm X 25m,Masaüstü Gereçler,Bantlar,Vege,,,,,,,,,,,,,,,,
21517,13985,8691200139854,Vege Çift Taraflı Bant 25mmX25m,Masaüstü Gereçler,Bantlar,Vege,,,,,,,,,,,,,,,,
21518,43127,8691200431279,Vege Çift Taraflı Bant 38mmx25m,Masaüstü Gereçler,Bantlar,Vege,,,,,,,,,,,,,,,,
21519,43128,8691200431286,Vege Çift Taraflı Bant 50mmx25m,Masaüstü Gereçler,Bantlar,Vege,,,,,,,,,,,,,,,,
21520,BA90015,8691235913137,"Vege Çift Taraflı Köpük Bant 19 mm x 1,5 mt",Masaüstü Gereçler,Bantlar,Vege,,,,,,,,,,,,,,,,
21521,BN3304-VGE,8691236015360,Vege Koli Bandı Şeffaf 45x100 (aslan),Masaüstü Gereçler,Bantlar,Vege,,,,,,,,,,,,,,,,
21522,BN3306-VGE,8691230302522,Vege Koli Bandı Şeffaf 45x100 (Fil),Masaüstü Gereçler,Bantlar,Vege,,,,,,,,,,,,,,,,
21523,BA65023,8691238036133,Vege Köpük Montaj Bandı 19mm X 10m,Masaüstü Gereçler,Bantlar,Vege,,,,,,,,,,,,,,,,
21524,184956,8691232714606,Vege Maskeleme Bandı 18mmx30m,Masaüstü Gereçler,Bantlar,Vege,,,,,,,,,,,,,,,,
21525,184955,8691239738300,Vege Maskeleme Bandı 48mmx30m,Masaüstü Gereçler,Bantlar,Vege,,,,,,,,,,,,,,,,
21526,BN3302-VGE,8691231694475,Vege Selefon Bant 12mmx33m,Masaüstü Gereçler,Bantlar,Vege,,,,,,,,,,,,,,,,
